beta,global_run,source_file,local_run,proposed,mmd_g,ed2,bg,pw,mswd_l1,smmd
0.0,1,results_beta0_1.txt,0,0,0,0,0,0,0,0
0.0,2,results_beta0_1.txt,1,0,0,0,0,0,1,0
0.0,3,results_beta0_1.txt,2,0,0,0,0,0,0,0
0.0,4,results_beta0_1.txt,3,0,0,0,0,0,1,0
0.0,5,results_beta0_1.txt,4,0,0,0,0,0,0,0
0.0,6,results_beta0_1.txt,5,0,0,0,0,0,0,0
0.0,7,results_beta0_1.txt,6,0,0,0,0,0,0,0
0.0,8,results_beta0_1.txt,7,0,0,0,0,0,0,0
0.0,9,results_beta0_1.txt,8,0,0,0,0,0,0,0
0.0,10,results_beta0_1.txt,9,1,0,0,0,0,0,0
0.0,11,results_beta0_1.txt,10,0,0,0,0,0,0,0
0.0,12,results_beta0_1.txt,11,0,0,0,0,0,0,0
0.0,13,results_beta0_1.txt,12,0,0,0,0,0,0,0
0.0,14,results_beta0_1.txt,13,0,0,0,0,0,0,0
0.0,15,results_beta0_1.txt,14,0,0,0,0,0,0,0
0.0,16,results_beta0_1.txt,15,0,0,0,0,0,0,0
0.0,17,results_beta0_1.txt,16,0,0,0,0,0,0,0
0.0,18,results_beta0_1.txt,17,0,0,0,0,0,0,0
0.0,19,results_beta0_1.txt,18,0,0,0,0,0,0,0
0.0,20,results_beta0_1.txt,19,0,0,0,0,0,0,0
0.0,21,results_beta0_1.txt,20,0,0,0,0,0,0,0
0.0,22,results_beta0_1.txt,21,0,0,0,0,0,0,0
0.0,23,results_beta0_1.txt,22,0,0,0,0,0,0,0
0.0,24,results_beta0_1.txt,23,0,0,0,0,0,0,0
0.0,25,results_beta0_1.txt,24,0,0,0,0,0,0,0
0.0,26,results_beta0_1.txt,25,0,0,0,0,0,0,0
0.0,27,results_beta0_2.txt,0,0,0,0,0,0,0,0
0.0,28,results_beta0_2.txt,1,0,0,0,0,0,0,0
0.0,29,results_beta0_2.txt,2,0,0,0,0,1,0,0
0.0,30,results_beta0_2.txt,3,0,0,0,0,0,0,0
0.0,31,results_beta0_2.txt,4,0,0,0,0,0,1,0
0.0,32,results_beta0_2.txt,5,0,0,0,0,0,0,0
0.0,33,results_beta0_2.txt,6,0,0,0,0,0,0,0
0.0,34,results_beta0_2.txt,7,0,0,0,0,0,0,0
0.0,35,results_beta0_2.txt,8,0,0,0,0,0,0,0
0.0,36,results_beta0_2.txt,9,0,0,0,0,0,0,0
0.0,37,results_beta0_2.txt,10,0,0,0,0,0,0,0
0.0,38,results_beta0_2.txt,11,1,1,1,0,1,1,1
0.0,39,results_beta0_2.txt,12,0,0,0,0,0,0,0
0.0,40,results_beta0_2.txt,13,1,0,0,0,0,1,0
0.0,41,results_beta0_2.txt,14,0,0,0,0,0,0,0
0.0,42,results_beta0_2.txt,15,0,0,0,0,0,0,0
0.0,43,results_beta0_2.txt,16,0,0,0,0,0,0,0
0.0,44,results_beta0_2.txt,17,0,0,0,0,0,0,0
0.0,45,results_beta0_2.txt,18,0,0,0,0,0,0,0
0.0,46,results_beta0_2.txt,19,0,0,0,0,0,0,0
0.0,47,results_beta0_2.txt,20,0,0,0,0,0,0,0
0.0,48,results_beta0_3.txt,0,0,0,0,0,0,0,0
0.0,49,results_beta0_3.txt,1,1,0,0,0,0,0,0
0.0,50,results_beta0_3.txt,2,0,0,0,0,0,0,0
0.2,1,results_beta0.2_1.txt,0,0,0,0,0,0,0,0
0.2,2,results_beta0.2_1.txt,1,0,0,0,0,0,0,0
0.2,3,results_beta0.2_1.txt,2,0,0,0,0,0,0,0
0.2,4,results_beta0.2_1.txt,3,0,1,1,0,0,0,1
0.2,5,results_beta0.2_1.txt,4,0,0,0,0,0,0,0
0.2,6,results_beta0.2_1.txt,5,1,0,0,0,0,1,0
0.2,7,results_beta0.2_1.txt,6,1,0,0,0,0,1,0
0.2,8,results_beta0.2_1.txt,7,0,0,0,0,0,0,0
0.2,9,results_beta0.2_1.txt,8,0,0,0,0,0,0,0
0.2,10,results_beta0.2_1.txt,9,0,0,0,0,0,0,0
0.2,11,results_beta0.2_1.txt,10,0,0,0,0,1,0,0
0.2,12,results_beta0.2_1.txt,11,0,0,0,0,0,0,0
0.2,13,results_beta0.2_1.txt,12,0,0,0,0,0,0,0
0.2,14,results_beta0.2_1.txt,13,0,0,0,0,0,0,0
0.2,15,results_beta0.2_1.txt,14,0,0,0,0,0,0,0
0.2,16,results_beta0.2_1.txt,15,0,0,0,0,0,0,0
0.2,17,results_beta0.2_1.txt,16,0,0,0,0,0,0,0
0.2,18,results_beta0.2_1.txt,17,0,0,0,0,0,0,0
0.2,19,results_beta0.2_1.txt,18,0,0,0,0,0,0,0
0.2,20,results_beta0.2_1.txt,19,0,0,0,0,0,0,0
0.2,21,results_beta0.2_2.txt,0,0,0,0,0,0,0,0
0.2,22,results_beta0.2_2.txt,1,0,0,0,0,0,0,0
0.2,23,results_beta0.2_2.txt,2,0,0,0,0,0,1,0
0.2,24,results_beta0.2_2.txt,3,0,0,0,0,0,0,0
0.2,25,results_beta0.2_2.txt,4,0,0,0,0,0,0,0
0.2,26,results_beta0.2_2.txt,5,0,0,0,0,0,0,0
0.2,27,results_beta0.2_2.txt,6,0,0,0,0,0,0,0
0.2,28,results_beta0.2_2.txt,7,0,0,0,0,0,0,0
0.2,29,results_beta0.2_2.txt,8,0,0,0,0,0,0,0
0.2,30,results_beta0.2_2.txt,9,0,0,0,0,0,0,0
0.2,31,results_beta0.2_2.txt,10,0,0,0,0,0,0,0
0.2,32,results_beta0.2_2.txt,11,0,0,0,0,1,0,0
0.2,33,results_beta0.2_2.txt,12,0,0,0,0,0,0,0
0.2,34,results_beta0.2_2.txt,13,0,0,0,0,0,0,0
0.2,35,results_beta0.2_2.txt,14,0,0,0,0,0,0,0
0.2,36,results_beta0.2_2.txt,15,0,0,0,0,0,0,0
0.2,37,results_beta0.2_2.txt,16,0,0,0,0,1,0,0
0.2,38,results_beta0.2_2.txt,17,0,0,0,0,0,0,0
0.2,39,results_beta0.2_2.txt,18,1,0,0,0,0,0,0
0.2,40,results_beta0.2_2.txt,19,0,0,0,0,0,0,0
0.2,41,results_beta0.2_2.txt,20,0,0,0,0,0,0,0
0.2,42,results_beta0.2_2.txt,21,0,0,0,0,0,0,0
0.2,43,results_beta0.2_2.txt,22,0,0,0,0,0,0,0
0.2,44,results_beta0.2_2.txt,23,0,0,0,0,0,0,0
0.2,45,results_beta0.2_2.txt,24,0,0,0,0,0,0,0
0.2,46,results_beta0.2_2.txt,25,0,0,0,0,0,0,0
0.2,47,results_beta0.2_2.txt,26,0,0,0,0,0,0,0
0.2,48,results_beta0.2_2.txt,27,0,0,0,1,0,0,0
0.2,49,results_beta0.2_2.txt,28,0,0,0,0,0,0,0
0.2,50,results_beta0.2_2.txt,29,0,0,0,0,0,0,0
0.4,1,results_beta0.4.txt,0,0,0,0,0,0,1,0
0.4,2,results_beta0.4.txt,1,0,0,0,0,0,0,0
0.4,3,results_beta0.4.txt,2,0,0,0,0,0,0,0
0.4,4,results_beta0.4.txt,3,0,0,0,0,0,0,0
0.4,5,results_beta0.4.txt,4,1,1,1,0,1,0,1
0.4,6,results_beta0.4.txt,5,0,0,0,1,0,0,0
0.4,7,results_beta0.4.txt,6,0,0,0,0,0,0,0
0.4,8,results_beta0.4.txt,7,1,1,1,0,0,1,1
0.4,9,results_beta0.4.txt,8,1,0,0,0,0,1,0
0.4,10,results_beta0.4.txt,9,0,0,0,0,0,0,0
0.4,11,results_beta0.4.txt,10,0,1,1,0,0,1,1
0.4,12,results_beta0.4.txt,11,0,0,0,0,0,0,0
0.4,13,results_beta0.4.txt,12,0,1,1,0,0,1,1
0.4,14,results_beta0.4.txt,13,0,0,0,0,0,0,0
0.4,15,results_beta0.4.txt,14,0,1,0,0,0,0,1
0.4,16,results_beta0.4.txt,15,0,0,0,0,0,0,0
0.4,17,results_beta0.4.txt,16,1,0,0,0,0,1,0
0.4,18,results_beta0.4.txt,17,0,1,1,0,0,1,1
0.4,19,results_beta0.4.txt,18,0,0,0,0,0,0,0
0.4,20,results_beta0.4.txt,19,1,0,0,1,0,0,0
0.4,21,results_beta0.4.txt,20,0,1,1,0,0,1,1
0.4,22,results_beta0.4.txt,21,1,1,1,0,0,1,1
0.4,23,results_beta0.4.txt,22,0,0,0,0,0,0,0
0.4,24,results_beta0.4.txt,23,0,0,0,0,0,0,0
0.4,25,results_beta0.4.txt,24,0,0,0,0,0,0,0
0.4,26,results_beta0.4.txt,25,0,0,0,0,0,0,0
0.4,27,results_beta0.4.txt,26,0,0,0,0,1,0,0
0.4,28,results_beta0.4.txt,27,1,1,1,0,1,1,1
0.4,29,results_beta0.4.txt,28,0,0,0,0,0,0,0
0.4,30,results_beta0.4.txt,29,0,0,0,0,0,0,0
0.4,31,results_beta0.4.txt,30,0,0,0,0,0,0,0
0.4,32,results_beta0.4.txt,31,0,0,0,0,0,0,0
0.4,33,results_beta0.4.txt,32,1,0,0,0,0,0,0
0.4,34,results_beta0.4.txt,33,0,0,0,0,0,0,0
0.4,35,results_beta0.4.txt,34,1,0,0,0,0,0,0
0.4,36,results_beta0.4.txt,35,1,0,1,0,1,1,1
0.4,37,results_beta0.4.txt,36,1,0,0,0,0,1,0
0.4,38,results_beta0.4.txt,37,0,0,0,0,0,0,0
0.4,39,results_beta0.4.txt,38,0,0,0,0,0,0,0
0.4,40,results_beta0.4.txt,39,0,0,0,0,0,0,0
0.4,41,results_beta0.4.txt,40,1,0,0,0,0,1,0
0.4,42,results_beta0.4.txt,41,1,0,0,0,0,0,0
0.4,43,results_beta0.4.txt,42,1,0,0,0,0,1,0
0.4,44,results_beta0.4.txt,43,0,0,0,0,0,0,0
0.4,45,results_beta0.4.txt,44,0,0,0,0,0,0,0
0.4,46,results_beta0.4.txt,45,0,0,0,0,0,0,0
0.4,47,results_beta0.4.txt,46,0,0,0,0,0,0,0
0.4,48,results_beta0.4.txt,47,0,0,0,1,0,1,0
0.4,49,results_beta0.4.txt,48,0,0,0,0,0,0,0
0.4,50,results_beta0.4.txt,49,0,0,0,0,0,0,0
0.6,1,results_beta0.6_1.txt,0,1,1,1,0,1,1,1
0.6,2,results_beta0.6_1.txt,1,1,0,0,0,0,1,0
0.6,3,results_beta0.6_1.txt,2,1,0,0,0,1,1,0
0.6,4,results_beta0.6_2.txt,0,1,0,0,0,0,1,0
0.6,5,results_beta0.6_2.txt,1,1,0,0,0,0,1,0
0.6,6,results_beta0.6_2.txt,2,1,0,0,0,0,1,0
0.6,7,results_beta0.6_2.txt,3,1,0,0,0,0,1,0
0.6,8,results_beta0.6_2.txt,4,1,0,0,0,0,1,0
0.6,9,results_beta0.6_2.txt,5,1,0,0,0,0,1,0
0.6,10,results_beta0.6_2.txt,6,0,0,0,0,0,0,0
0.6,11,results_beta0.6_2.txt,7,1,1,1,0,0,1,1
0.6,12,results_beta0.6_2.txt,8,1,0,0,0,0,1,0
0.6,13,results_beta0.6_3.txt,0,0,0,0,0,0,0,0
0.6,14,results_beta0.6_3.txt,1,1,0,0,0,0,1,0
0.6,15,results_beta0.6_3.txt,2,1,0,0,0,0,1,0
0.6,16,results_beta0.6_3.txt,3,0,0,0,0,0,1,0
0.6,17,results_beta0.6_3.txt,4,1,0,0,0,0,1,0
0.6,18,results_beta0.6_3.txt,5,1,0,0,0,1,1,0
0.6,19,results_beta0.6_3.txt,6,1,0,0,0,0,1,1
0.6,20,results_beta0.6_3.txt,7,1,0,0,0,0,1,0
0.6,21,results_beta0.6_3.txt,8,1,0,0,0,0,1,0
0.6,22,results_beta0.6_3.txt,9,1,0,0,0,0,1,0
0.6,23,results_beta0.6_3.txt,10,0,0,0,0,0,0,0
0.6,24,results_beta0.6_3.txt,11,1,0,0,0,0,1,0
0.6,25,results_beta0.6_3.txt,12,1,0,0,0,0,1,1
0.6,26,results_beta0.6_3.txt,13,1,0,0,0,0,1,0
0.6,27,results_beta0.6_3.txt,14,1,0,0,0,0,1,0
0.6,28,results_beta0.6_3.txt,15,1,0,0,0,0,1,0
0.6,29,results_beta0.6_3.txt,16,1,0,0,0,0,1,0
0.6,30,results_beta0.6_3.txt,17,0,1,1,0,1,1,1
0.6,31,results_beta0.6_3.txt,18,1,0,0,0,0,1,1
0.6,32,results_beta0.6_3.txt,19,1,1,1,0,0,1,1
0.6,33,results_beta0.6_3.txt,20,1,0,0,1,0,1,0
0.6,34,results_beta0.6_3.txt,21,1,0,0,0,0,1,0
0.6,35,results_beta0.6_3.txt,22,1,0,0,0,0,1,0
0.6,36,results_beta0.6_3.txt,23,1,0,0,0,0,1,0
0.6,37,results_beta0.6_3.txt,24,1,0,0,0,0,1,0
0.6,38,results_beta0.6_3.txt,25,1,0,0,0,0,1,0
0.6,39,results_beta0.6_3.txt,26,0,0,0,0,0,0,0
0.6,40,results_beta0.6_3.txt,27,0,0,0,0,0,0,0
0.6,41,results_beta0.6_3.txt,28,1,0,0,0,0,1,0
0.6,42,results_beta0.6_3.txt,29,1,0,0,0,0,1,0
0.6,43,results_beta0.6_3.txt,30,1,0,0,0,0,1,0
0.6,44,results_beta0.6_3.txt,31,1,0,0,0,0,1,0
0.6,45,results_beta0.6_3.txt,32,1,0,0,0,0,1,0
0.6,46,results_beta0.6_3.txt,33,0,0,0,0,0,1,0
0.6,47,results_beta0.6_3.txt,34,1,0,0,0,0,1,0
0.6,48,results_beta0.6_3.txt,35,1,0,0,0,0,1,0
0.6,49,results_beta0.6_3.txt,36,1,0,0,0,0,1,0
0.6,50,results_beta0.6_3.txt,37,1,0,0,0,0,1,0
0.8,1,results_beta0.8.txt,0,1,0,0,0,0,1,0
0.8,2,results_beta0.8.txt,1,1,0,0,0,0,1,0
0.8,3,results_beta0.8.txt,2,1,0,0,0,0,1,0
0.8,4,results_beta0.8.txt,3,1,0,0,0,0,1,0
0.8,5,results_beta0.8.txt,4,1,1,1,0,0,1,1
0.8,6,results_beta0.8.txt,5,1,0,0,0,0,1,0
0.8,7,results_beta0.8.txt,6,1,0,0,0,0,1,0
0.8,8,results_beta0.8.txt,7,1,1,1,0,0,1,1
0.8,9,results_beta0.8.txt,8,1,1,1,0,0,1,1
0.8,10,results_beta0.8.txt,9,1,0,0,0,0,1,0
0.8,11,results_beta0.8.txt,10,1,0,0,0,1,1,0
0.8,12,results_beta0.8.txt,11,1,1,1,0,1,1,1
0.8,13,results_beta0.8.txt,12,1,0,0,0,0,1,0
0.8,14,results_beta0.8.txt,13,1,0,0,0,0,1,0
0.8,15,results_beta0.8.txt,14,1,1,1,0,1,1,1
0.8,16,results_beta0.8.txt,15,1,0,0,0,0,1,0
0.8,17,results_beta0.8.txt,16,1,0,0,0,0,1,0
0.8,18,results_beta0.8.txt,17,1,1,1,0,0,1,1
0.8,19,results_beta0.8.txt,18,1,0,0,0,0,1,0
0.8,20,results_beta0.8.txt,19,1,0,0,0,0,1,0
0.8,21,results_beta0.8.txt,20,1,0,0,0,0,1,0
0.8,22,results_beta0.8.txt,21,1,0,0,0,0,1,0
0.8,23,results_beta0.8.txt,22,1,1,1,0,1,1,1
0.8,24,results_beta0.8.txt,23,1,0,1,0,0,1,1
0.8,25,results_beta0.8.txt,24,1,0,0,0,0,1,0
0.8,26,results_beta0.8.txt,25,1,0,0,0,0,1,0
0.8,27,results_beta0.8.txt,26,1,0,0,0,0,1,0
0.8,28,results_beta0.8.txt,27,1,0,0,1,0,1,0
0.8,29,results_beta0.8.txt,28,1,0,1,0,0,1,1
0.8,30,results_beta0.8.txt,29,1,1,1,0,1,1,1
0.8,31,results_beta0.8.txt,30,1,0,0,0,0,1,0
0.8,32,results_beta0.8.txt,31,1,0,0,0,0,1,0
0.8,33,results_beta0.8.txt,32,1,0,0,0,0,1,0
0.8,34,results_beta0.8.txt,33,1,0,0,0,0,1,0
0.8,35,results_beta0.8.txt,34,1,0,0,0,0,1,0
0.8,36,results_beta0.8.txt,35,1,0,0,0,0,1,0
0.8,37,results_beta0.8.txt,36,1,0,0,0,0,1,0
0.8,38,results_beta0.8.txt,37,1,0,0,0,0,1,0
0.8,39,results_beta0.8.txt,38,1,0,0,0,0,1,0
0.8,40,results_beta0.8.txt,39,1,1,1,0,0,1,1
0.8,41,results_beta0.8.txt,40,1,0,0,0,0,1,0
0.8,42,results_beta0.8.txt,41,1,0,0,0,0,1,0
0.8,43,results_beta0.8.txt,42,1,1,1,0,1,1,1
0.8,44,results_beta0.8.txt,43,1,1,1,0,1,1,1
0.8,45,results_beta0.8.txt,44,1,0,0,0,0,1,0
0.8,46,results_beta0.8.txt,45,1,1,1,0,0,1,1
0.8,47,results_beta0.8.txt,46,1,0,0,0,0,1,0
0.8,48,results_beta0.8.txt,47,0,0,0,0,0,1,0
0.8,49,results_beta0.8.txt,48,1,1,1,0,0,1,1
0.8,50,results_beta0.8.txt,49,1,0,0,0,0,1,0
1.0,1,results_beta1.txt,0,1,1,1,0,0,1,1
1.0,2,results_beta1.txt,1,1,1,1,0,1,1,1
1.0,3,results_beta1.txt,2,1,0,0,0,0,1,0
1.0,4,results_beta1.txt,3,1,1,1,0,1,1,1
1.0,5,results_beta1.txt,4,1,0,0,0,0,1,0
1.0,6,results_beta1.txt,5,1,1,1,0,0,1,1
1.0,7,results_beta1.txt,6,1,0,0,0,0,1,0
1.0,8,results_beta1.txt,7,1,0,0,1,0,1,1
1.0,9,results_beta1.txt,8,1,1,1,0,1,1,1
1.0,10,results_beta1.txt,9,1,0,0,0,0,1,0
1.0,11,results_beta1.txt,10,1,1,1,0,0,1,1
1.0,12,results_beta1.txt,11,1,1,1,0,0,1,1
1.0,13,results_beta1.txt,12,1,0,0,0,0,1,0
1.0,14,results_beta1.txt,13,1,1,1,0,1,1,1
1.0,15,results_beta1.txt,14,1,1,1,0,1,1,1
1.0,16,results_beta1.txt,15,1,1,1,0,0,1,1
1.0,17,results_beta1.txt,16,1,1,1,0,0,1,1
1.0,18,results_beta1.txt,17,1,0,0,0,0,1,0
1.0,19,results_beta1.txt,18,1,1,1,1,0,1,1
1.0,20,results_beta1.txt,19,1,0,0,0,0,1,0
1.0,21,results_beta1.txt,20,1,0,0,0,0,1,0
1.0,22,results_beta1.txt,21,1,0,0,0,0,1,0
1.0,23,results_beta1.txt,22,1,1,1,0,1,1,1
1.0,24,results_beta1.txt,23,1,1,1,0,1,1,1
1.0,25,results_beta1.txt,24,1,1,1,0,0,1,1
1.0,26,results_beta1.txt,25,1,0,0,0,0,1,0
1.0,27,results_beta1.txt,26,1,1,1,0,1,1,1
1.0,28,results_beta1.txt,27,1,1,1,0,1,1,1
1.0,29,results_beta1.txt,28,1,0,0,0,0,1,0
1.0,30,results_beta1.txt,29,1,0,0,0,0,1,0
1.0,31,results_beta1.txt,30,1,1,1,0,0,1,1
1.0,32,results_beta1.txt,31,1,1,1,0,0,1,1
1.0,33,results_beta1.txt,32,1,1,1,0,1,1,1
1.0,34,results_beta1.txt,33,1,1,1,0,0,1,1
1.0,35,results_beta1.txt,34,1,0,0,0,0,1,0
1.0,36,results_beta1.txt,35,1,1,1,0,1,1,1
1.0,37,results_beta1.txt,36,1,0,0,0,0,1,0
1.0,38,results_beta1.txt,37,1,0,0,0,0,1,0
1.0,39,results_beta1.txt,38,1,1,1,0,0,1,1
1.0,40,results_beta1.txt,39,1,0,0,0,0,1,0
1.0,41,results_beta1.txt,40,1,1,1,0,0,1,1
1.0,42,results_beta1.txt,41,1,1,1,0,0,1,1
1.0,43,results_beta1.txt,42,1,0,0,0,0,1,0
1.0,44,results_beta1.txt,43,1,1,1,0,0,1,1
1.0,45,results_beta1.txt,44,1,0,0,1,0,1,0
1.0,46,results_beta1.txt,45,1,0,0,1,0,1,0
1.0,47,results_beta1.txt,46,1,0,0,0,0,1,1
1.0,48,results_beta1.txt,47,1,1,1,0,0,1,1
1.0,49,results_beta1.txt,48,1,1,1,0,1,1,1
1.0,50,results_beta1.txt,49,1,1,0,0,0,1,1
